feature,importance
Bianco 4,0.1545883233202015
Pianta 1,0.15125763347945445
Pianta 3,0.08338623166035015
Pianta 6,0.08234294035098776
Sirena 3,0.07724238585346971
Noki 1,0.0661076969321886
Bianco 2,0.04445056426166079
Bianco 5,0.04114320908218455
Pinna 3,0.030028775436446463
Noki 2,0.027896077347701248
Bianco 3,0.02051013195875049
Ricco 5,0.019639929838971285
Corona Mountain,0.019498243658385202
Pianta 2,0.016093102440157846
Pinna 2,0.015168257034379115
Pinna 7,0.014491233170315728
Ricco 2,0.013381490010533898
Pianta 5,0.011518883650591996
Gelato 8,0.011491985481631838
Ricco 3,0.01038956579860739
Pianta 4,0.00932389834594745
Ricco 4,0.006449179609697622
Bianco 6,0.006131078335371389
Ricco 1,0.005744119277206237
Sirena 6,0.005545258517387171
Noki 4,0.005230104689763101
Ricco 6,0.005156979703041056
Sirena 1,0.005029843254759792
Noki 7,0.004428191044453425
Noki 3,0.0043421618346734395
Ricco 7,0.004339987369218859
Pianta 7,0.003836940917413331
Pinna 6,0.0036983275295173895
Sirena 5,0.0033316478585898274
Sirena 7,0.0033085324823686683
Bianco 7,0.002499145165552832
Noki 6,0.0019081312376875222
Sirena 2,0.0018740409612582399
Airstrip,0.0018398688455686027
Pinna 4,0.0016225168057902239
Gelato 7,0.0014981365715008477
Noki 5,0.0012249042367300713
Sirena 4,0.0010103446395327545
